report_date,open_street,sponsor,borough,category,sponsor_type,total_weekly_hours,length_mi
2020-07-02,68th Road,Yellowstone Park,Queens,Full Block,,84,0.1063876557377599
2020-07-02,6th Avenue,Sunset Park,Brooklyn,Full Block,,84,0.3441263190992464
2020-07-02,77th Street,Ozone Park,Queens,Full Block,,84,0.3077811810905576
2020-07-02,85th Street,Gorman Playground,Queens,Full Block,,84,0.1284981084637676
2020-07-02,99th Street,Rego Park,Queens,Full Block,,84,0.5666559376122757
2020-07-02,Arlington Place,"Bedford Stuyvesant Gateway District Management Association, Inc.",Brooklyn,Full Block - Partner,Business Improvement District,84,0.4822171130819794
2020-07-02,Audubon Avenue,Connectemonos,Manhattan,Full Block - Partner,Nonprofit,84,0.4970276285843084
2020-07-02,Avenue B - 6th Street - 14th Street,Loisaida Open Streets Community Coalition,Manhattan,Full Block,Nonprofit,84,0.390671088854085
2020-07-02,Avenue Of The Americas,Hudson Square Business Improvement District,Manhattan,Full Block - Partner,Business Improvement District,28,0.1520353780022674
2020-07-02,Bank Street,North Shore Esplande Park,Staten Island,Full Block,,84,0.4398492017638026
2020-07-02,Barron Street,Baisley Pond Park/South Jamaica,Queens,Full Block,,84,0.1408095405495683
2020-07-02,Beach 12th Street,Jewish Community Council of the Rockaway Peninsula,Queens,Full Block - Partner,Nonprofit,12,0.2561898039298972
2020-07-02,Blake Avenue - Brownsville,Brownsville,Brooklyn,Full Block,,84,0.1968062391284758
2020-07-02,Blake Avenue - East New York,East New York,Brooklyn,Full Block,,84,0.4982305475772025
2020-07-02,Bragg Street,Sheepshead Bay,Brooklyn,Full Block,,84,0.4607225393496746
2020-07-02,Broadway - East 29th Street - Flatiron,Flatiron Partnership,Manhattan,Full Block - Partner,Business Improvement District,84,0.3059027620666966
2020-07-02,Broadway - Financial District,Financial District,Manhattan,,,0,0.5018944869301469
2020-07-02,Broadway - Flatiron,Flatiron Partnership,Manhattan,Full Block - Partner,Business Improvement District,56,0.0518201592808164
2020-07-02,Broadway - Garment District,Times Square Alliance,Manhattan,Full Block - Partner,Business Improvement District,84,2.4002944128988046
2020-07-02,Broadway - Times Square,Times Square Alliance,Manhattan,Full Block - Partner,Business Improvement District,84,0.2960133151199282
2020-07-02,Bronx Park South,River Park,Bronx,Full Block,,84,0.1528960348467624
2020-07-02,Cadman Plaza East,Korean War Veterans Plaza,Brooklyn,Full Block,,84,0.0764227052209912
2020-07-02,Canal Street,Stapleton,Staten Island,Full Block,,84,0.0911976729702875
2020-07-02,Carlton Avenue,Prospect Heights Neighborhood Development Council,Brooklyn,Full Block,Neighborhood Organization,84,0.2072049587814631
2020-07-02,Carroll Street - West,Carroll Park,Brooklyn,Full Block,,84,0.104487804627081
2020-07-02,Center Boulevard,Gantry State Park/Hunters Pt,Queens,Full Block,,84,0.223757015138898
2020-07-02,Chester Avenue,Kensington,Brooklyn,Full Block,,84,0.3276957371020266
2020-07-02,Columbia Place,Brooklyn Heights,Brooklyn,Full Block,,84,0.1359780017958459
2020-07-02,Congress Street,Cobble Hill Park,Brooklyn,Full Block,,84,0.1045873349194628
2020-07-02,Court Square West,Court Square,Queens,Full Block,,84,0.1194989153190674
2020-07-02,Creston Avenue,Fordham Heights,Bronx,Full Block,,84,0.3333368882615683
2020-07-02,Crotona Parkway,Crotona,Bronx,Full Block,,84,0.1575838770867332
2020-07-02,Dieterle Crescent,Painter's Playground,Queens,Full Block,,84,0.3160834945175075
2020-07-02,Ditmars Boulevard - Shore Boulevard - 19th Street,Ralph DeMarco Park,Queens,Full Block,,84,0.1275986712379206
2020-07-02,Ditmars Boulevard - Shore-19th,Ralph DeMarco Park,Queens,Full Block,,84,0.5868171554478037
2020-07-02,Driggs Avenue,Greenpoint,Brooklyn,Full Block,,84,0.1729092418627407
2020-07-02,Dumont Avenue,Betsy Head Park,Brooklyn,Full Block,,84,0.1488586786083061
2020-07-02,Dyckman Street,Tighe Triangle,Manhattan,Full Block,,84,0.061460113892586
2020-07-02,East 100th Street - East 101st Street,Uptown Grand Central,Manhattan,Full Block - Partner,Nonprofit,56,0.1867397044078831
2020-07-02,East 115th Street - Park Ave-3rd Ave,Concrete Safaris,Manhattan,Full Block - Partner,Nonprofit,17,0.1846639833618313
2020-07-02,East 140th Street,Mott Haven,Bronx,Full Block,,84,0.2114373733800828
2020-07-02,East 16th Street,Stuyvesant Sq Park,Manhattan,Full Block,,84,0.1838301631050021
2020-07-02,East 16th Street BK,Homecrest,Brooklyn,Full Block,Nonprofit,84,0.1216806319401173
2020-07-02,East 21st Street,Prospect Park South,Brooklyn,Full Block,,84,0.5300795187162729
2020-07-02,East 7th Street,Kensington,Brooklyn,Full Block,,84,0.0532033120496374
2020-07-02,East End Avenue,Carl Schurz Park,Manhattan,Full Block,,84,0.3064440798920126
2020-07-02,Edgecombe Avenue,Jackie Robinson Park,Manhattan,Full Block,,84,0.4990012391311182
2020-07-02,Ellery Street,Bushwick,Brooklyn,Full Block,,84,0.1055283364201544
2020-07-02,Flatbush Avenue,Prospect Park,Brooklyn,,,0,0.9309960326256536
2020-07-02,Forest Avenue,Captain Rivera Playground,Bronx,Full Block,,84,0.0702064864362393
2020-07-02,Frederick Douglass Boulevard,Harlem,Manhattan,Full Block,,84,0.0869583646799582
2020-07-02,Freedom Drive,Forest Park,Queens,Full Block,,84,0.2803614963253742
2020-07-02,Front Street,Seaport,Manhattan,Full Block - Partner,,84,0.065828965386185
2020-07-02,Fulton Street,Bed Stuy,Brooklyn,Full Block,,84,0.1211793941316549
2020-07-02,Gansevoort Street - Little West 12th St - West 13th St,Meatpacking Business Improvement District,Manhattan,Full Block - Partner,Business Improvement District,84,0.1867761304450808
2020-07-02,Grand Street,Williamsburg,Brooklyn,Full Block,,84,0.167662140450252
2020-07-02,Grant Avenue,Grant Park,Bronx,Full Block,,84,0.1894912543543383
2020-07-02,Grattan Street,Pine Box Rock Shop,Brooklyn,Full Block - Partner,Business,10,0.0879048659611205
2020-07-02,Greenwich Street,Hudson Square Business Improvement District,Manhattan,Full Block - Partner,Business Improvement District,42,0.0875550913689559
2020-07-02,Gregory Place,Park Slope,Brooklyn,Full Block,,84,0.1591886288049883
2020-07-02,Hall Street,Clinton Hill,Brooklyn,Full Block,,84,0.1759794817088487
2020-07-02,Henry Street,Red Hook Recreation Center,Brooklyn,Full Block,,84,0.0983622574080411
2020-07-02,Hudson Boulevard East - West,Hudson Yards Hell's Kitchen Alliance,Manhattan,Full Block - Partner,Business Improvement District,84,0.09606934834587161
2020-07-02,Humboldt Street,Bushwick,Brooklyn,Full Block,,84,0.3134363200845772
2020-07-02,Irving Place,Gramercy,Manhattan,Full Block,,84,0.0460623229666175
2020-07-02,Jackson Ave,St. Mary's Park,Bronx,Full Block,,84,0.2125523986764031
2020-07-02,Jefferson Street,Les Enfants de Boheme,Manhattan,Full Block - Partner,Business,0,0.0933070972395417
2020-07-02,Jones Street,Greenwich Village,Manhattan,Full Block,,84,0.094098237318814
2020-07-02,King Street,Hudson Square Business Improvement District,Manhattan,Full Block - Partner,Business Improvement District,28,0.0810170590966334
2020-07-02,Knickerbocker Avenue - Maria Hernandez Park,Maria Hernandez Park,Brooklyn,Full Block,,84,0.137185928568764
2020-07-02,Lakeview Lane,Baisley Pond Park/South Jamaica,Queens,Full Block,,84,0.5504473341003815
2020-07-02,Laurel Hill Terrace,Highbridge Park,Manhattan,Full Block,,84,0.0
2020-07-02,Lawrence Street,Downtown Brooklyn Partnership,Brooklyn,Full Block - Partner,Business Improvement District,77,0.1236905632414052
2020-07-02,Leonard Street,Sternberg Park,Brooklyn,Full Block,,84,0.0984461033620739
2020-07-02,Lincoln Place,Prospect Heights Neighborhood Development Council,Brooklyn,Full Block,Neighborhood Organization,84,0.4296847807549984
2020-07-02,Livonia Avenue,Brownsville,Brooklyn,Full Block,,84,0.1496694342979414
2020-07-02,Louis Nine Blvd,Longwood,Bronx,Full Block,,84,0.1416391798899972
2020-07-02,Ludlow Street,LES BID,Manhattan,Full Block - Partner,Business Improvement District,56,0.3559094297185576
2020-07-02,MacDougal Street - West 8th St,Village Alliance,Manhattan,Full Block - Partner,Business Improvement District,5,0.1565352975882552
2020-07-02,Margaret Corbin Drive,Fort Tryon Park,Manhattan,Full Block,,84,0.0082462679808655
2020-07-02,McClellan Street,Concourse,Bronx,Full Block,,84,0.1577679396744384
2020-07-02,Montague Street,Brooklyn Heights,Brooklyn,Full Block,,84,0.0854426688243164
2020-07-02,Morningside Avenue,Morningside Park,Manhattan,Full Block,,84,0.1747841280878953
2020-07-02,Nassau Avenue,McCarren Park,Brooklyn,Full Block,,84,0.1454252166762597
2020-07-02,Nelson Avenue,Morris Heights,Bronx,Full Block,,84,0.2701471139468132
2020-07-02,Newkirk Avenue,Flatbush Development Corporation,Brooklyn,Full Block - Partner,Neighborhood Organization,9,0.3478994297046857
2020-07-02,Newtown Avenue,Central Astoria Local Development Corportation,Queens,Full Block - Partner,Nonprofit,10,0.1451692639681318
2020-07-02,Noll Street,Green Central Knoll Park,Brooklyn,Full Block,,84,0.0991719454784158
2020-07-02,North 3rd Street,Williamsburg,Brooklyn,Full Block,,84,0.3223040506807194
2020-07-02,North Elliott Place,Commodore Barry Park,Brooklyn,Full Block,,84,0.1193351246599941
2020-07-02,Oak Tree Place,Quarry Ballfields,Bronx,Full Block,,84,0.1389281104886682
2020-07-02,Onderdonk Avenue,Ridgewood,Queens,Full Block,,84,0.1972388301158064
2020-07-02,Orchard Street,LES BID,Manhattan,Full Block - Partner,Business Improvement District,56,0.2736143140278537
2020-07-02,Pacific Street,Boerum Hill,Brooklyn,Full Block,,84,0.3847597959305253
2020-07-02,Park Place,Crown Heights,Brooklyn,Full Block,,84,0.2919503258031138
2020-07-02,Parkside Avenue - Park Circle-Ocean Ave,Prospect Park,Brooklyn,Full Block,,84,0.575851995132538
2020-07-02,Pearl Street,Alliance for Downtown New York,Manhattan,Full Block - Partner,Business Improvement District,28,0.2400797385220288
2020-07-02,Peck Avenue,Flushing,Queens,Full Block,,84,0.1022935801978661
2020-07-02,Pell Street - Bayard Street - Doyers Street,Chinatown Business Improvement District,Manhattan,Full Block - Partner,Business Improvement District,63,0.0559294933076692
2020-07-02,Prospect Park West,Prospect Park,Brooklyn,Full Block,,84,0.1478441598206043
2020-07-02,Prospect Place-NY Avenue,Crown Heights,Brooklyn,Full Block,,84,0.1457500082542885
2020-07-02,Raleigh Place,East Flatbush,Brooklyn,Full Block,,84,0.1899442902856968
2020-07-02,Randall Avenue,Castle Hill,Bronx,Full Block,,84,0.3260499682680353
2020-07-02,Reads Lane,Jewish Community Council of the Rockaway Peninsula,Queens,Full Block - Partner,Nonprofit,12,0.4722826727656554
2020-07-02,Reed Street,Red Hook Business Alliance,Brooklyn,Full Block - Partner,Business Improvement District,8,0.0856946218373311
2020-07-02,Rockaway Freeway,Far Rockaway,Queens,Full Block,,84,0.2765037121911939
2020-07-02,Roosevelt Avenue,Flushing,Queens,Full Block,,84,0.051478365559263
2020-07-02,Russell Street,McGolrick Park,Brooklyn,Full Block,,84,0.175453799354619
2020-07-02,S1st Street,Williamsburg,Brooklyn,Full Block,,84,0.9021981767874788
2020-07-02,Sackman Street,Callahan-Kelly Playground,Brooklyn,Full Block,,84,0.0403488067264768
2020-07-02,Schenectady Avenue,Crown Heights,Brooklyn,Full Block,,84,0.3555684497266547
2020-07-02,Second Avenue,Murray Hill,Manhattan,,,0,0.3970039612921224
2020-07-02,Sharon Street,Cooper Park,Brooklyn,Full Block,,84,0.1630577067413827
2020-07-02,Silver Lake Park Road,Silver Lake Park,Staten Island,Full Block,,84,0.6485493017215227
2020-07-02,Skillman Avenue,Sunnyside,Queens,Full Block,,84,0.1967181821888676
2020-07-02,Smith Street - Downtown Brooklyn,Downtown Brooklyn,Brooklyn,,,0,0.2181077068379949
2020-07-02,Somers Street,Bed-Stuy,Brooklyn,Full Block,,84,0.1122420795101772
2020-07-02,South 9th Street,Williamsburg,Brooklyn,Full Block,,84,0.1711235437853545
2020-07-02,South Portland Avenue,Fort Greene,Brooklyn,Full Block,,84,0.4147655520015847
2020-07-02,St. Marks Place,Boerum Hill,Brooklyn,Full Block,,84,0.2508169822348189
2020-07-02,Stanley Avenue,East New York,Brooklyn,Full Block,,84,0.38921184901576267
2020-07-02,Stapleton,Stapleton,Staten Island,Full Block,,84,0.0792717868018289
2020-07-02,State Street,Boerum Hill,Brooklyn,Full Block,,84,0.3828339988222223
2020-07-02,Tibbett Avenue,Kingsbridge,Bronx,Full Block,,84,0.4224931054614856
2020-07-02,Trinity Avenue,Morrisiana,Bronx,Full Block,,84,0.3765732050057064
2020-07-02,Troutman Street,Bushwick,Brooklyn,Full Block,,84,0.2421556418527811
2020-07-02,Underhill Avenue,Prospect Heights Neighborhood Development Council,Brooklyn,Full Block,Neighborhood Organization,84,0.4765253513075205
2020-07-02,University Place,Village Alliance,Manhattan,Full Block - Partner,Business Improvement District,5,0.409330544699059
2020-07-02,West 103rd Street,Manhattan Valley,Manhattan,Full Block,,84,0.16913210597533
2020-07-02,West 117th Street,Harlem,Manhattan,Full Block,,84,0.7060421629033028
2020-07-02,West 120th Street,Marcus Meets Malcolm,Manhattan,Full Block - Partner,Nonprofit,84,0.1046790650616911
2020-07-02,West 129th Street,Harlem,Manhattan,Full Block,,84,0.1681530934522591
2020-07-02,West 138th Street,Harlem,Manhattan,Full Block,,84,0.1671981663561051
2020-07-02,West 143rd Street,Charles Young Playground,Manhattan,Full Block,,84,0.1784964240851418
2020-07-02,West 17th Street,Meatpacking Business Improvement District,Manhattan,Full Block - Partner,Business Improvement District,84,0.3411174877711573
2020-07-02,West 21st Street,Chelsea,Manhattan,Full Block,,84,0.1707370111056112
2020-07-02,West 22nd - Chelsea,Chelsea,Manhattan,Full Block,,84,0.1700990588301359
2020-07-02,West 236th Street,Riverdale Playground,Bronx,Full Block,,84,0.1317689255907094
2020-07-02,West 25th Street,Chelsea,Manhattan,Full Block,,84,0.1707303980435405
2020-07-02,West 44th Street,Hells Kitchen,Manhattan,Full Block,,84,0.1703309731902806
2020-07-02,West 46th Street - 8th Avenue - 9th Avenue,Times Square Alliance,Manhattan,Full Block - Partner,Business Improvement District,28,0.1713194894899778
2020-07-02,West 51st Street,Hells Kitchen,Manhattan,Full Block,,84,0.1710071981520599
2020-07-02,West 9th Street,Red Hook Initiative,Brooklyn,Full Block - Partner,Nonprofit,10,0.0884883251493183
2020-07-02,West End Avenue - 73rd-78th,Upper West Side,Manhattan,Full Block,,84,0.5002011025580084
2020-07-02,West End Avenue - 87th-96th,Upper West Side,Manhattan,Full Block,,84,0.8982526966371281
2020-07-02,West Street,Brooklyn Greenway Initiative,Brooklyn,Full Block - Partner,Nonprofit,16,0.2459587818844139
2020-07-02,Williams Avenue,Brownsville,Brooklyn,Full Block,,84,0.1295090979076748
2020-07-02,Willis Avenue,3rd Ave BID,Bronx,Full Block - Partner,Business Improvement District,40,0.07446669611096719
2020-07-02,Willoughby Avenue - Fort Greene,Fort Greene,Brooklyn,Full Block,,84,0.4171076505473506
2020-07-02,Willow Street,Brooklyn Heights,Brooklyn,Full Block,,84,0.3371921931565917
2020-07-02,Wyckoff Street,Nicholas Naquan Heyward Park,Brooklyn,Full Block,,84,0.1273239708915998
2020-07-02,Yates Avenue,Allerton,Bronx,Full Block,,84,0.1179180870297284
2020-10-02,107th Avenue,Jamaica,Queens,Full Block,,84,0.0456899340079913
2020-10-02,108th Avenue,Jamaica,Queens,Full Block,,84,0.2168748651168944
2020-10-02,120th Street,South Richmond Hill,Queens,Full Block,,84,0.2758139405888036
2020-10-02,155th Street - South Jamaica,Baisley Pond Park/South Jamaica,Queens,Full Block,,84,0.3305146596139165
2020-10-02,165th Street,Jamaica Hills,Queens,Full Block,,84,0.099660564098594
2020-10-02,169th Street Queens,Plaut Triangle,Queens,Full Block,,84,0.0359635244477994
2020-10-02,1st Place - 2nd Place,Carroll Gardens,Brooklyn,Full Block,,84,0.312804510810492
2020-10-02,21st Street,Sunset Park,Brooklyn,Full Block,,84,0.5947473978022678
2020-10-02,23rd Street,Astoria/Long Island City,Queens,,,0,1.8525181228266852
2020-10-02,2nd Avenue Service Road,Alliance for Kips Bay,Manhattan,Full Block - Partner,Neighborhood Organization,84,0.119218034960957
2020-10-02,31st Avenue,31st Ave Open Street Collective,Queens,Full Block - Partner,Nonprofit,84,0.2469442349699433
2020-10-02,34th Avenue,Jackson Heights,Queens,Full Block,,84,2.1461053995948873
2020-10-02,35th Avenue,Crocheron Park,Queens,Full Block,,84,0.290173180514904
2020-10-02,38th Street,Dome Playground,Brooklyn,Full Block,,84,0.1229537470469561
2020-10-02,39th Avenue,39th Avenue Open Streets Coalition,Queens,Full Block,Nonprofit,84,0.1942080967151984
2020-10-02,39th Avenue - Woodside,39th Avenue Open Streets Coalition,Queens,Full Block,Nonprofit,84,0.4382251077829863
2020-10-02,41st Avenue,Bayside Village Business Improvement District,Queens,,Business Improvement District,16,0.1271698572955923
2020-10-02,46th Street,Sunnyside Shines,Queens,Full Block - Partner,Business Improvement District,16,0.0596467545821726
2020-10-02,4th Place,Carroll Gardens,Brooklyn,Full Block,,84,0.3033407224778711
2020-10-02,5th Avenue - Park Slope,Park Slope Fifth Avenue Business Improvement District,Brooklyn,Full Block - Partner,Business Improvement District,11,0.7580519746507249
2020-10-02,5th Avenue - Sunset Park,Sunset Park Business Improvement District,Brooklyn,,Business Improvement District,15,0.1479681385586674
2020-10-02,60th Street - Laurel Hill Boulevard - 47th Avenue,Maspeth,Queens,Full Block,,84,0.1578838847540415
2020-10-02,60th Street - Queens Boulevard - 43rd Avenue,Woodside,Queens,Full Block,,84,0.1028657067644011
2020-10-02,61st Street - Borough Park,99 Favor Taste,Brooklyn,,Business,6,0.1475665632493842
2020-10-02,66th Road,Forest Hills,Queens,Full Block,,84,0.1647775679298472
2020-10-02,68th Road,Yellowstone Park,Queens,Full Block,,84,0.1063876557377599
2020-10-02,6th Avenue,Sunset Park,Brooklyn,Full Block,,84,0.3441263190992464
2020-10-02,70th Road,Forest Hills Chamber of Commerce,Queens,,,35,0.0810495842451799
2020-10-02,77th Street,Ozone Park,Queens,Full Block,,84,0.3077811810905576
2020-10-02,99th Street,Rego Park,Queens,Full Block,,84,0.5666559376122757
2020-10-02,Alexander Avenue,Third Avenue Business Improvement District,Bronx,,Business Improvement District,9,0.052808219651746
2020-10-02,Amsterdam Avenue,Columbus Amsterdam Business Improvement District,Manhattan,,Business Improvement District,9,0.649753839243194
2020-10-02,Ann Street,Alliance for Downtown New York,Manhattan,,Business Improvement District,17,0.0829200597837109
2020-10-02,Arlington Place,"Bedford Stuyvesant Gateway District Management Association, Inc.",Brooklyn,Full Block - Partner,Business Improvement District,84,0.4822171130819794
2020-10-02,Arthur Avenue,Belmont Business Improvement District,Bronx,,Business Improvement District,12,0.2455200832778339
2020-10-02,Audubon Avenue,Connectemonos,Manhattan,Full Block - Partner,Nonprofit,84,0.4970276285843084
2020-10-02,Austin Street - Ascan Avenue,Forest Hills Chamber of Commerce,Queens,,,17,0.0616052800729104
2020-10-02,Avenue B - 2nd-4th,Becaf LLC,Manhattan,,Business,22,0.09942168304985541
2020-10-02,Avenue B - 6th Street - 14th Street,Loisaida Open Streets Community Coalition,Manhattan,Full Block,Nonprofit,84,0.390671088854085
2020-10-02,Avenue Of The Americas,Hudson Square Business Improvement District,Manhattan,Full Block - Partner,Business Improvement District,28,0.1520353780022674
2020-10-02,Bank Street,North Shore Esplande Park,Staten Island,Full Block,,84,0.4398492017638026
2020-10-02,Barron Street,Baisley Pond Park/South Jamaica,Queens,Full Block,,84,0.1408095405495683
2020-10-02,Beach 12th Street,Jewish Community Council of the Rockaway Peninsula,Queens,Full Block - Partner,Nonprofit,12,0.2561898039298972
2020-10-02,Blake Avenue - Brownsville,Brownsville,Brooklyn,Full Block,,84,0.1968062391284758
2020-10-02,Blake Avenue - East New York,East New York,Brooklyn,Full Block,,84,0.4982305475772025
2020-10-02,Bleecker Street,Von Design Ltd.,Manhattan,,Business,17,0.0825670332795324
2020-10-02,Bond Street,il Buco,Manhattan,,Business,17,0.1245105506329146
2020-10-02,Bragg Street,Sheepshead Bay,Brooklyn,Full Block,,84,0.4607225393496746
2020-10-02,Broadway - 34th Street,34th Street Partnership,Manhattan,,Business Improvement District,15,0.0498987877954168
2020-10-02,Broadway - East 29th Street - Flatiron,Flatiron Partnership,Manhattan,Full Block - Partner,Business Improvement District,63,0.4656486485374602
2020-10-02,Broadway - Financial District,Financial District,Manhattan,,,0,0.5018944869301469
2020-10-02,Broadway - Flatiron,Flatiron Partnership,Manhattan,Full Block - Partner,Business Improvement District,56,0.1036403185616328
2020-10-02,Broadway - Garment District,Garment District,Manhattan,Full Block - Partner,,56,2.3430321114974686
2020-10-02,Broadway - Times Square,Times Square Alliance,Manhattan,Full Block - Partner,Business Improvement District,84,0.49737083556251893
2020-10-02,Bronx Park South,River Park,Bronx,Full Block,,84,0.1528960348467624
2020-10-02,Broome - 303 Canary,303 Canary LLC,Manhattan,,Business,13,0.0492734504814579
2020-10-02,Cadman Plaza East,Korean War Veterans Plaza,Brooklyn,Full Block,,84,0.0764227052209912
2020-10-02,Canal Street,Cervo's,Manhattan,,Business,35,0.0930696384502529
2020-10-02,Carlton Avenue,Prospect Heights Neighborhood Development Council,Brooklyn,Full Block,Neighborhood Organization,20,0.1727043289947737
2020-10-02,Carroll Street - West,Carroll Park,Brooklyn,Full Block,,84,0.104487804627081
2020-10-02,Cedar Avenue,Salsa Con Fuego,Bronx,,Business,17,0.059310558985175
2020-10-02,Chester Avenue,Kensington,Brooklyn,Full Block,,84,0.3276957371020266
2020-10-02,Christopher Street,Kettle of Fish,Manhattan,,Business,17,0.0860231312739805
2020-10-02,Columbia Place,Brooklyn Heights,Brooklyn,Full Block,,84,0.3886081334243436
2020-10-02,Congress Street,Cobble Hill Park,Brooklyn,Full Block,,84,0.1045873349194628
2020-10-02,Cornelia Street,Palma Restaurant,Manhattan,,Business,17,0.1059549314653428
2020-10-02,Court Square West,Court Square,Queens,Full Block,,84,0.1194989153190674
2020-10-02,Creston Avenue,Fordham Heights,Bronx,Full Block,,84,0.3333368882615683
2020-10-02,Crotona Parkway,Crotona,Bronx,Full Block,,84,0.1575838770867332
2020-10-02,Dieterle Crescent,Painter's Playground,Queens,Full Block,,84,0.3160834945175075
2020-10-02,Ditmars Boulevard - 33rd Street - 37th Street,Nino's AQ,Queens,,Business,13,0.1530521048886124
2020-10-02,Ditmars Boulevard - Shore Boulevard - 19th Street,Ralph DeMarco Park,Queens,Full Block,,84,0.1275986712379206
2020-10-02,Ditmars Boulevard - Shore-19th,Ralph DeMarco Park,Queens,Full Block,,84,0.5868171554478037
2020-10-02,Dock Street,DUMBO Business Improvement District,Brooklyn,,Business Improvement District,15,0.0485782087676573
2020-10-02,Driggs Avenue,North Brooklyn Open Streets Community Coalition,Brooklyn,Full Block,Nonprofit,84,0.1729092418627407
2020-10-02,Duane Street,"KioRestaurant, LLC (d.b.a. Khe-Yo)",Manhattan,,Business,77,0.045943682009923
2020-10-02,Dumont Avenue,Betsy Head Park,Brooklyn,Full Block,,84,0.1488586786083061
2020-10-02,Dyckman Street,Tighe Triangle,Manhattan,Full Block,Business,84,0.122920227785172
2020-10-02,E18th Street - Irving Place,Gramercy Neighborhood Associates,Manhattan,,Neighborhood Organization,77,0.1031465852872367
2020-10-02,East 100th Street - East 101st Street,Uptown Grand Central,Manhattan,Full Block - Partner,Nonprofit,20,0.3734794088157662
2020-10-02,East 115th Street - Park Ave-3rd Ave,Concrete Safaris,Manhattan,Full Block - Partner,Nonprofit,17,0.1846639833618313
2020-10-02,East 140th Street,Mott Haven,Bronx,Full Block,,84,0.2114373733800828
2020-10-02,East 169th Street,Claremont,Bronx,Full Block,,84,0.2124363415892203
2020-10-02,East 16th Street,Stuyvesant Sq Park,Manhattan,Full Block,,84,0.1838301631050021
2020-10-02,East 16th Street BK,Homecrest,Brooklyn,Full Block,Nonprofit,84,0.1216806319401173
2020-10-02,East 20th Street,Rezdora,Manhattan,,Business,30,0.1169092827036053
2020-10-02,East 28th Street,23rd Street Partnership/Atoboy LLC/Flatiron,Manhattan,,Business Improvement District,17,0.0920590653783183
2020-10-02,East 32nd Street,Hangawi Restaurant,Manhattan,,Business,17,0.0955739618457993
2020-10-02,East 61st Street,Central Park,Manhattan,,,0,0.7975876786295788
2020-10-02,East 62nd Street,Central Park,Manhattan,,,0,0.7969508204665041
2020-10-02,East 7th Street,Derossi Global,Manhattan,,Business,18,0.1328805323223075
2020-10-02,East 90th Street,Upper East Side,Manhattan,Full Block,,84,0.0968786182999493
2020-10-02,East End Avenue,Carl Schurz Park,Manhattan,Full Block,,84,0.3064440798920126
2020-10-02,Edgecombe Avenue,Jackie Robinson Park,Manhattan,Full Block,,84,0.6089211027735644
2020-10-02,Ellery Street,Bushwick,Brooklyn,Full Block,,84,0.1055283364201544
2020-10-02,Flatbush Avenue,Prospect Park,Brooklyn,,,0,0.9309960326256536
2020-10-02,Forest Avenue,Captain Rivera Playground,Bronx,Full Block,,84,0.0702064864362393
2020-10-02,Frederick Douglass Boulevard,Frederick Douglass Boulevard Alliance,Manhattan,,Nonprofit,17,0.4036025435227127
2020-10-02,Freedom Drive,Forest Park,Queens,Full Block,,84,0.2803614963253742
